
  Benchmark lcg from 1 to 256 with step 1.

         N            Ri            Time
       148    1483440256        1.244874
       149    1483440256        1.237580
       150    1483440256        1.233885
       151    1483440256        1.236390
       152    1483440256        1.237489
       153    1483440256        1.242596
       154    1483440256        1.239034
       155    1483440256        1.247434
       156    1483440256        1.235636
       157    1483440256        1.245007
       158    1483440256        1.232734
       159    1483440256        1.236539
       160    1483440256        1.250967
       161    1483440256        1.228690
       162    1483440256        1.238169
       163    1483440256        1.243914
       164    1483440256        1.231287
       165    1483440256        1.236103
       166    1483440256        1.241809
       167    1483440256        1.230884
       168    1483440256        1.238214
       169    1483440256        1.233317
       170    1483440256        1.235680
       171    1483440256        1.235998
       172    1483440256        1.231744
       173    1483440256        1.250690
       174    1483440256        1.241832
       175    1483440256        1.230407
       176    1483440256        1.238082
       177    1483440256        1.233952
       178    1483440256        1.244006
       179    1483440256        1.259769
       180    1483440256        1.231214
       181    1483440256        1.264718
       182    1483440256        1.235655
       183    1483440256        1.230209
       184    1483440256        1.247643
       185    1483440256        1.242682
       186    1483440256        1.261151
       187    1483440256        1.234908
       188    1483440256        1.231454
       189    1483440256        1.247846
       190    1483440256        1.263761
       191    1483440256        1.239684
       192    1483440256        1.242137
       193    1483440256        1.238395
       194    1483440256        1.227252
       195    1483440256        1.245131
       196    1483440256        1.229735
       197    1483440256        1.250268
       198    1483440256        1.239151
       199    1483440256        1.235045
       200    1483440256        1.234925
       201    1483440256        1.236227
       202    1483440256        1.233604
       203    1483440256        1.236196
       204    1483440256        1.230776
       205    1483440256        1.241055
       206    1483440256        1.232490
       207    1483440256        1.232737
       208    1483440256        1.234565
       209    1483440256        1.255664
       210    1483440256        1.232329
       211    1483440256        1.249479
       212    1483440256        1.234539
       213    1483440256        1.229721
       214    1483440256        1.243288
       215    1483440256        1.230306
       216    1483440256        1.237240
       217    1483440256        1.234497
       218    1483440256        1.231628
       219    1483440256        1.233922
       220    1483440256        1.239077
       221    1483440256        1.241297
       222    1483440256        1.233990
       223    1483440256        1.228714
       224    1483440256        1.235708
       225    1483440256        1.233692
       226    1483440256        1.271013
       227    1483440256        1.232305
       228    1483440256        1.234778
       229    1483440256        1.252557
       230    1483440256        1.238084
       231    1483440256        1.236340
       232    1483440256        1.236799
       233    1483440256        1.234000
       234    1483440256        1.228759
       235    1483440256        1.233951
       236    1483440256        1.236107
       237    1483440256        1.228157
       238    1483440256        1.258238
       239    1483440256        1.229876
       240    1483440256        1.237383
       241    1483440256        1.245447
       242    1483440256        1.259531
       243    1483440256        1.239862
       244    1483440256        1.233356
       245    1483440256        1.227722
       246    1483440256        1.230102
       247    1483440256        1.233161
       248    1483440256        1.257353
       249    1483440256        1.230444
       250    1483440256        1.225415
       251    1483440256        1.232494
       252    1483440256        1.241241
       253    1483440256        1.234669
       254    1483440256        1.236625
       255    1483440256        1.236801
